content,sentimen,aspek,content_clean,content_casefolded,content_normalized,content_stopword,content_tokens,clean_text,content_stemmed
"Tampilan sangat eye catching, fitur lumayan lengkap untuk kebutuhan sehari hari",Positive,Tampilan,Tampilan sangat eye catching fitur lumayan lengkap untuk kebutuhan sehari hari,tampilan sangat eye catching fitur lumayan lengkap untuk kebutuhan sehari hari,tampilan sangat eye catching fitur lumayan lengkap untuk kebutuhan sehari hari,tampilan sangat eye catching fitur lumayan lengkap kebutuhan sehari,"['tampilan', 'sangat', 'eye', 'catching', 'fitur', 'lumayan', 'lengkap', 'kebutuhan', 'sehari']",tampilan sangat eye catching fitur lumayan lengkap kebutuhan sehari,"['tampilan', 'sangat', 'eye', 'catching', 'fitur', 'lumayan', 'lengkap', 'butuh', 'hari']"
"Aplikasinya menarik. Suka karena friendly, gampang dipakai. Terus mudah untuk melakukan pembelian sama pembayaran.",Positive,Tampilan,Aplikasinya menarik Suka karena friendly gampang dipakai Terus mudah untuk melakukan pembelian sama pembayaran,aplikasinya menarik suka karena friendly gampang dipakai terus mudah untuk melakukan pembelian sama pembayaran,aplikasinya menarik sering karena friendly gampang dipakai terus mudah untuk melakukan pembelian sama pembayaran,menarik sering friendly gampang dipakai mudah pembelian pembayaran,"['menarik', 'sering', 'friendly', 'gampang', 'dipakai', 'mudah', 'pembelian', 'pembayaran']",menarik sering friendly gampang dipakai mudah pembelian pembayaran,"['menarik', 'sering', 'friendly', 'gampang', 'pakai', 'mudah', 'beli', 'bayar']"
"-bayar qris di wonder cepet banget, cuma 3 step selesai - tampilan aplikasinya menarik",Positive,Tampilan,bayar qris di wonder cepet banget cuma  step selesai  tampilan aplikasinya menarik,bayar qris di wonder cepet banget cuma  step selesai  tampilan aplikasinya menarik,bayar QRIS di Wondr cepat banget cuma step selesai tampilan aplikasinya menarik,bayar QRIS Wondr cepat banget step selesai tampilan menarik,"['bayar', 'QRIS', 'Wondr', 'cepat', 'banget', 'step', 'selesai', 'tampilan', 'menarik']",bayar QRIS Wondr cepat banget step selesai tampilan menarik,"['bayar', 'qris', 'wondr', 'cepat', 'banget', 'step', 'selesai', 'tampilan', 'menarik']"
"Untuk tampilan fresh dan keren ya bisa makin mudah untuk segala transaksi, semoga bisa ditingkatkan lagi untuk fitur""nya. Go Wondr.",Positive,Tampilan,Untuk tampilan fresh dan keren ya bisa makin mudah untuk segala transaksi semoga bisa ditingkatkan lagi untuk fiturnya Go Wondr,untuk tampilan fresh dan keren ya bisa makin mudah untuk segala transaksi semoga bisa ditingkatkan lagi untuk fiturnya go wondr,untuk tampilan fresh dan keren ya bisa semakin mudah untuk segala transaksi semoga bisa ditingkatkan lagi untuk fiturnya go wondr,tampilan fresh keren bisa mudah transaksi semoga bisa ditingkatkan fiturnya go,"['tampilan', 'fresh', 'keren', 'bisa', 'mudah', 'transaksi', 'semoga', 'bisa', 'ditingkatkan', 'fiturnya', 'go']",tampilan fresh keren bisa mudah transaksi semoga bisa ditingkatkan fiturnya go,"['tampilan', 'fresh', 'keren', 'bisa', 'mudah', 'transaksi', 'moga', 'bisa', 'tingkat', 'fiturnya', 'go']"
"Beli Token listrik pakai wondr ?, WOOOOOWWW cepet BANGET. Tampilan UI aplikasi Wondr ?. WOOWWW keren BANGEETTT !!!. Aku cinta wondr ðŸ«¶",Positive,Tampilan,Beli Token listrik pakai wondr  WOOOOOWWW cepet BANGET Tampilan UI aplikasi Wondr  WOOWWW keren BANGEETTT  Aku cinta wondr,beli token listrik pakai wondr  wooooowww cepet banget tampilan ui aplikasi wondr  woowww keren bangeettt  aku cinta wondr,beli token listrik pakai wondr wooooowww cepat banget tampilan ui aplikasi wondr woowww keren banget aku cinta wondr,beli token listrik pakai wooooowww cepat banget tampilan ui woowww keren banget cinta,"['beli', 'token', 'listrik', 'pakai', 'wooooowww', 'cepat', 'banget', 'tampilan', 'ui', 'woowww', 'keren', 'banget', 'cinta']",beli token listrik pakai wooooowww cepat banget tampilan ui woowww keren banget cinta,"['beli', 'token', 'listrik', 'pakai', 'wooooowww', 'cepat', 'banget', 'tampilan', 'ui', 'woowww', 'keren', 'banget', 'cinta']"
"Wondr punya tampilan aplikasi yang super fun dan penuh warna, bikin betah pakai. Kemarin beli makan di foodcourt pakai Wondr, bayarnya cepet banget dan bener-bener easy to use. Nggak ribet sama sekali, langsung jatuh cinta sama aplikasi ini!",Positive,Tampilan,Wondr punya tampilan aplikasi yang super fun dan penuh warna bikin betah pakai Kemarin beli makan di foodcourt pakai Wondr bayarnya cepet banget dan bener bener easy to use Nggak ribet sama sekali langsung jatuh cinta sama aplikasi ini,wondr punya tampilan aplikasi yang super fun dan penuh warna bikin betah pakai kemarin beli makan di foodcourt pakai wondr bayarnya cepet banget dan bener bener easy to use nggak ribet sama sekali langsung jatuh cinta sama aplikasi ini,wondr punya tampilan aplikasi yang super fun dan penuh warna membuat betah pakai kemarin beli makan di foodcourt pakai wondr bayarnya cepat banget dan benar benar easy tapi use tidak rumit sama sekali langsung jatuh cinta sama aplikasi ini,tampilan super fun penuh warna betah pakai kemarin beli makan foodcourt pakai bayarnya cepat banget easy use tidak rumit langsung jatuh cinta,"['tampilan', 'super', 'fun', 'penuh', 'warna', 'betah', 'pakai', 'kemarin', 'beli', 'makan', 'foodcourt', 'pakai', 'bayarnya', 'cepat', 'banget', 'easy', 'use', 'tidak', 'rumit', 'langsung', 'jatuh', 'cinta']",tampilan super fun penuh warna betah pakai kemarin beli makan foodcourt pakai bayarnya cepat banget easy use tidak rumit langsung jatuh cinta,"['tampilan', 'super', 'fun', 'penuh', 'warna', 'betah', 'pakai', 'kemarin', 'beli', 'makan', 'foodcourt', 'pakai', 'bayar', 'cepat', 'banget', 'easy', 'use', 'tidak', 'rumit', 'langsung', 'jatuh', 'cinta']"
Transaksi lebih cepat dan perpaduan warnanya bagus,Positive,Tampilan,Transaksi lebih cepat dan perpaduan warnanya bagus,transaksi lebih cepat dan perpaduan warnanya bagus,transaksi lebih cepat dan perpaduan warnanya bagus,transaksi lebih cepat perpaduan warnanya bagus,"['transaksi', 'lebih', 'cepat', 'perpaduan', 'warnanya', 'bagus']",transaksi lebih cepat perpaduan warnanya bagus,"['transaksi', 'lebih', 'cepat', 'padu', 'warna', 'bagus']"
"UI aplikasinya fresh dan friendly banget, bikin pengalaman transaksi jadi lebih cepat dan menyenangkan, recomended!",Positive,Tampilan,UI aplikasinya fresh dan friendly banget bikin pengalaman transaksi jadi lebih cepat dan menyenangkan recomended,ui aplikasinya fresh dan friendly banget bikin pengalaman transaksi jadi lebih cepat dan menyenangkan recomended,ui aplikasinya fresh dan friendly banget membuat pengalaman transaksi jadi lebih cepat dan menyenangkan recomended,ui fresh friendly banget pengalaman transaksi lebih cepat menyenangkan recomended,"['ui', 'fresh', 'friendly', 'banget', 'pengalaman', 'transaksi', 'lebih', 'cepat', 'menyenangkan', 'recomended']",ui fresh friendly banget pengalaman transaksi lebih cepat menyenangkan recomended,"['ui', 'fresh', 'friendly', 'banget', 'alam', 'transaksi', 'lebih', 'cepat', 'senang', 'recomended']"
Bayar QRIS dan topup ewallet jadi lebih cepat karena bisa tanpa login. Transaksi jadi lebih mudah karena pakai pin. Tampilan aplikasinya lucu banget karena warnanya cocok untuk kaum millenial.,Positive,Tampilan,Bayar QRIS dan topup ewallet jadi lebih cepat karena bisa tanpa login Transaksi jadi lebih mudah karena pakai pin Tampilan aplikasinya lucu banget karena warnanya cocok untuk kaum millenial,bayar qris dan topup ewallet jadi lebih cepat karena bisa tanpa login transaksi jadi lebih mudah karena pakai pin tampilan aplikasinya lucu banget karena warnanya cocok untuk kaum millenial,bayar QRIS dan top up ewallet jadi lebih cepat karena bisa tanpa login transaksi jadi lebih mudah karena pakai pin tampilan aplikasinya lucu banget karena warnanya cocok untuk kaum millenial,bayar QRIS top up ewallet lebih cepat bisa tanpa login transaksi lebih mudah pakai pin tampilan lucu banget warnanya cocok kaum millenial,"['bayar', 'QRIS', 'top', 'up', 'ewallet', 'lebih', 'cepat', 'bisa', 'tanpa', 'login', 'transaksi', 'lebih', 'mudah', 'pakai', 'pin', 'tampilan', 'lucu', 'banget', 'warnanya', 'cocok', 'kaum', 'millenial']",bayar QRIS top up ewallet lebih cepat bisa tanpa login transaksi lebih mudah pakai pin tampilan lucu banget warnanya cocok kaum millenial,"['bayar', 'qris', 'top', 'up', 'ewallet', 'lebih', 'cepat', 'bisa', 'tanpa', 'login', 'transaksi', 'lebih', 'mudah', 'pakai', 'pin', 'tampilan', 'lucu', 'banget', 'warna', 'cocok', 'kaum', 'millenial']"
Aplikasinya keren dan sangat membantu sekali ...terima kasih wonder Bni,Positive,Tampilan,Aplikasinya keren dan sangat membantu sekali terima kasih wonder Bni,aplikasinya keren dan sangat membantu sekali terima kasih wonder bni,aplikasinya keren dan sangat membantu sekali terima kasih Wondr bni,keren sangat membantu terima kasih Wondr,"['keren', 'sangat', 'membantu', 'terima', 'kasih', 'Wondr']",keren sangat membantu terima kasih Wondr,"['keren', 'sangat', 'bantu', 'terima', 'kasih', 'wondr']"
"Pembayaran menggunakan fitur scan qris lebih cepat, hanya tinggal mengaktifkan layanan qris di halaman login tinggal scan qr, konfirmasi, masukin otp selesai deh. Nungguin proses bayar nya juga nggak lama. Pokoknya keren deh ini aplikasi",Positive,Tampilan,Pembayaran menggunakan fitur scan qris lebih cepat hanya tinggal mengaktifkan layanan qris di halaman login tinggal scan qr konfirmasi masukin otp selesai deh Nungguin proses bayar nya juga nggak lama Pokoknya keren deh ini aplikasi,pembayaran menggunakan fitur scan qris lebih cepat hanya tinggal mengaktifkan layanan qris di halaman login tinggal scan qr konfirmasi masukin otp selesai deh nungguin proses bayar nya juga nggak lama pokoknya keren deh ini aplikasi,pembayaran menggunakan fitur scan QRIS lebih cepat hanya tinggal mengaktifkan layanan QRIS di halaman login tinggal scan qris konfirmasi memasuki otp selesai saja menunggu proses bayar ya juga tidak lama pokoknya keren saja ini aplikasi,pembayaran fitur scan QRIS lebih cepat tinggal mengaktifkan layanan QRIS halaman login tinggal scan qris konfirmasi memasuki otp selesai menunggu proses bayar tidak lama pokoknya keren,"['pembayaran', 'fitur', 'scan', 'QRIS', 'lebih', 'cepat', 'tinggal', 'mengaktifkan', 'layanan', 'QRIS', 'halaman', 'login', 'tinggal', 'scan', 'qris', 'konfirmasi', 'memasuki', 'otp', 'selesai', 'menunggu', 'proses', 'bayar', 'tidak', 'lama', 'pokoknya', 'keren']",pembayaran fitur scan QRIS lebih cepat tinggal mengaktifkan layanan QRIS halaman login tinggal scan qris konfirmasi memasuki otp selesai menunggu proses bayar tidak lama pokoknya keren,"['bayar', 'fitur', 'scan', 'qris', 'lebih', 'cepat', 'tinggal', 'aktif', 'layanan', 'qris', 'halaman', 'login', 'tinggal', 'scan', 'qris', 'konfirmasi', 'pasuk', 'otp', 'selesai', 'tunggu', 'proses', 'bayar', 'tidak', 'lama', 'pokok', 'keren']"
"Luar biasa aplikasinya menarik, meskipun belum lengkap fiturnya, tapi sangat membantu untuk transaksi yang sering saya lakukan. Semoga segera lebih lengkap fiturnya",Positive,Tampilan,Luar biasa aplikasinya menarik meskipun belum lengkap fiturnya tapi sangat membantu untuk transaksi yang sering saya lakukan Semoga segera lebih lengkap fiturnya,luar biasa aplikasinya menarik meskipun belum lengkap fiturnya tapi sangat membantu untuk transaksi yang sering saya lakukan semoga segera lebih lengkap fiturnya,luar biasa aplikasinya menarik meskipun belum lengkap fiturnya tapi sangat membantu untuk transaksi yang sering saya lakukan semoga segera lebih lengkap fiturnya,menarik belum lengkap fiturnya sangat membantu transaksi sering lakukan semoga lebih lengkap fiturnya,"['menarik', 'belum', 'lengkap', 'fiturnya', 'sangat', 'membantu', 'transaksi', 'sering', 'lakukan', 'semoga', 'lebih', 'lengkap', 'fiturnya']",menarik belum lengkap fiturnya sangat membantu transaksi sering lakukan semoga lebih lengkap fiturnya,"['menarik', 'belum', 'lengkap', 'fiturnya', 'sangat', 'bantu', 'transaksi', 'sering', 'laku', 'moga', 'lebih', 'lengkap', 'fiturnya']"
Simple dan UI modern,Positive,Tampilan,Simple dan UI modern,simple dan ui modern,simpel dan ui modern,simpel ui modern,"['simpel', 'ui', 'modern']",simpel ui modern,"['simpel', 'ui', 'modern']"
Secara tampilan jauh lebih menarik dan tentunya sekarang ada fitur qris yang langsung bisa scan tanpa perlu masuk ke halaman utamanya .,Positive,Tampilan,Secara tampilan jauh lebih menarik dan tentunya sekarang ada fitur qris yang langsung bisa scan tanpa perlu masuk ke halaman utamanya,secara tampilan jauh lebih menarik dan tentunya sekarang ada fitur qris yang langsung bisa scan tanpa perlu masuk ke halaman utamanya,secara tampilan jauh lebih menarik dan tentunya sekarang ada fitur QRIS yang langsung bisa scan tanpa perlu masuk ke halaman utamanya,tampilan lebih menarik fitur QRIS langsung bisa scan tanpa masuk halaman utamanya,"['tampilan', 'lebih', 'menarik', 'fitur', 'QRIS', 'langsung', 'bisa', 'scan', 'tanpa', 'masuk', 'halaman', 'utamanya']",tampilan lebih menarik fitur QRIS langsung bisa scan tanpa masuk halaman utamanya,"['tampilan', 'lebih', 'menarik', 'fitur', 'qris', 'langsung', 'bisa', 'scan', 'tanpa', 'masuk', 'halaman', 'utama']"
Lebih simpel dan keunggulan lebih banyak,Positive,Tampilan,Lebih simpel dan keunggulan lebih banyak,lebih simpel dan keunggulan lebih banyak,lebih simpel dan keunggulan lebih banyak,lebih simpel keunggulan lebih,"['lebih', 'simpel', 'keunggulan', 'lebih']",lebih simpel keunggulan lebih,"['lebih', 'simpel', 'unggul', 'lebih']"
Tampilan menarik dan pembayaran Kris sangat cepat dan mudah,Positive,Tampilan,Tampilan menarik dan pembayaran Kris sangat cepat dan mudah,tampilan menarik dan pembayaran kris sangat cepat dan mudah,tampilan menarik dan pembayaran kris sangat cepat dan mudah,tampilan menarik pembayaran kris sangat cepat mudah,"['tampilan', 'menarik', 'pembayaran', 'kris', 'sangat', 'cepat', 'mudah']",tampilan menarik pembayaran kris sangat cepat mudah,"['tampilan', 'menarik', 'bayar', 'kris', 'sangat', 'cepat', 'mudah']"
Tampilan aplikasi lebih baik dari yg sebelumnya.,Positive,Tampilan,Tampilan aplikasi lebih baik dari yg sebelumnya,tampilan aplikasi lebih baik dari yg sebelumnya,tampilan aplikasi lebih baik dari yang sebelumnya,tampilan lebih baik,"['tampilan', 'lebih', 'baik']",tampilan lebih baik,"['tampilan', 'lebih', 'baik']"
"Pembayaran qris, top up ewallet & tap cash cepat dan mudah. Tampilan ui nya juga baru dan simpel, jadi tampak lebih fresh dan mudah di gunakan.",Positive,Tampilan,Pembayaran qris top up ewallet  tap cash cepat dan mudah Tampilan ui nya juga baru dan simpel jadi tampak lebih fresh dan mudah di gunakan,pembayaran qris top up ewallet  tap cash cepat dan mudah tampilan ui nya juga baru dan simpel jadi tampak lebih fresh dan mudah di gunakan,pembayaran QRIS top up ewallet tap cash cepat dan mudah tampilan ui ya juga baru saja dan simpel jadi tampak lebih fresh dan mudah di gunakan,pembayaran QRIS top up ewallet tap cash cepat mudah tampilan ui simpel lebih fresh mudah,"['pembayaran', 'QRIS', 'top', 'up', 'ewallet', 'tap', 'cash', 'cepat', 'mudah', 'tampilan', 'ui', 'simpel', 'lebih', 'fresh', 'mudah']",pembayaran QRIS top up ewallet tap cash cepat mudah tampilan ui simpel lebih fresh mudah,"['bayar', 'qris', 'top', 'up', 'ewallet', 'tap', 'cash', 'cepat', 'mudah', 'tampilan', 'ui', 'simpel', 'lebih', 'fresh', 'mudah']"
"Tampilannya simple dan easy to use, jadi nggak bikin bingung. Transaksi jadi lebih cepat dan nyaman. Top mantap is the best !!!",Positive,Tampilan,Tampilannya simple dan easy to use jadi nggak bikin bingung Transaksi jadi lebih cepat dan nyaman Top mantap is the best,tampilannya simple dan easy to use jadi nggak bikin bingung transaksi jadi lebih cepat dan nyaman top mantap is the best,tampilannya simpel dan easy tapi use jadi tidak membuat bingung transaksi jadi lebih cepat dan nyaman top mantap is the terbaik,tampilannya simpel easy use tidak bingung transaksi lebih cepat nyaman top mantap is the terbaik,"['tampilannya', 'simpel', 'easy', 'use', 'tidak', 'bingung', 'transaksi', 'lebih', 'cepat', 'nyaman', 'top', 'mantap', 'is', 'the', 'terbaik']",tampilannya simpel easy use tidak bingung transaksi lebih cepat nyaman top mantap is the terbaik,"['tampil', 'simpel', 'easy', 'use', 'tidak', 'bingung', 'transaksi', 'lebih', 'cepat', 'nyaman', 'top', 'mantap', 'is', 'the', 'baik']"
Aplikasi banking keren..mudah.simple utk d aplikasikan..,Positive,Tampilan,Aplikasi banking keren mudah simple utk d aplikasikan,aplikasi banking keren mudah simple utk d aplikasikan,aplikasi banking keren mudah simpel untuk di aplikasikan,banking keren mudah simpel aplikasikan,"['banking', 'keren', 'mudah', 'simpel', 'aplikasikan']",banking keren mudah simpel aplikasikan,"['banking', 'keren', 'mudah', 'simpel', 'aplikasi']"
"Uinya simpel, dan lebih nyaman di lihat. Fitur qris juga enak d pakai praktis buat transaksi.",Positive,Tampilan,Uinya simpel dan lebih nyaman di lihat Fitur qris juga enak d pakai praktis buat transaksi,uinya simpel dan lebih nyaman di lihat fitur qris juga enak d pakai praktis buat transaksi,uinya simpel dan lebih nyaman di lihat fitur QRIS juga enak di pakai praktis buat transaksi,uinya simpel lebih nyaman lihat fitur QRIS enak pakai praktis transaksi,"['uinya', 'simpel', 'lebih', 'nyaman', 'lihat', 'fitur', 'QRIS', 'enak', 'pakai', 'praktis', 'transaksi']",uinya simpel lebih nyaman lihat fitur QRIS enak pakai praktis transaksi,"['uinya', 'simpel', 'lebih', 'nyaman', 'lihat', 'fitur', 'qris', 'enak', 'pakai', 'praktis', 'transaksi']"
Woow..suka bangetðŸ˜wondr by BNI mantap & kerennðŸ‘sangat simpel dan transaksi apapun makin praktisðŸ¤—wondrfull#jadiinMaumu,Positive,Tampilan,Woow suka bangetwondr by BNI mantap  kerennsangat simpel dan transaksi apapun makin praktiswondrfulljadiinMaumu,woow suka bangetwondr by bni mantap  kerennsangat simpel dan transaksi apapun makin praktiswondrfulljadiinmaumu,wow sering bangetwondr by bni mantap kerennsangat simpel dan transaksi apa pun semakin praktiswondrfulljadiinmaumu,wow sering bangetwondr mantap kerennsangat simpel transaksi praktiswondrfulljadiinmaumu,"['wow', 'sering', 'bangetwondr', 'mantap', 'kerennsangat', 'simpel', 'transaksi', 'praktiswondrfulljadiinmaumu']",wow sering bangetwondr mantap kerennsangat simpel transaksi praktiswondrfulljadiinmaumu,"['wow', 'sering', 'bangetwondr', 'mantap', 'kerennsangat', 'simpel', 'transaksi', 'praktiswondrfulljadiinmaumu']"
Pembayaran melalui QRIS sangat cepat dan simpelðŸ‘,Positive,Tampilan,Pembayaran melalui QRIS sangat cepat dan simpel,pembayaran melalui qris sangat cepat dan simpel,pembayaran melalui QRIS sangat cepat dan simpel,pembayaran QRIS sangat cepat simpel,"['pembayaran', 'QRIS', 'sangat', 'cepat', 'simpel']",pembayaran QRIS sangat cepat simpel,"['bayar', 'qris', 'sangat', 'cepat', 'simpel']"
"Tampilan lebih fresh, menarik, satset scan qris dimanapun dan banyakk promo menarik ðŸ¥°",Positive,Tampilan,Tampilan lebih fresh menarik satset scan qris dimanapun dan banyakk promo menarik,tampilan lebih fresh menarik satset scan qris dimanapun dan banyakk promo menarik,tampilan lebih fresh menarik cepat scan QRIS dimanapun dan banyakk promo menarik,tampilan lebih fresh menarik cepat scan QRIS dimanapun banyakk promo menarik,"['tampilan', 'lebih', 'fresh', 'menarik', 'cepat', 'scan', 'QRIS', 'dimanapun', 'banyakk', 'promo', 'menarik']",tampilan lebih fresh menarik cepat scan QRIS dimanapun banyakk promo menarik,"['tampilan', 'lebih', 'fresh', 'menarik', 'cepat', 'scan', 'qris', 'mana', 'banyakk', 'promo', 'menarik']"
"Tampilannya keren,promonya bejibun, kalo lupa pin kartu tdk perlu ke bank lagi...mantap",Positive,Tampilan,Tampilannya keren promonya bejibun kalo lupa pin kartu tdk perlu ke bank lagi mantap,tampilannya keren promonya bejibun kalo lupa pin kartu tdk perlu ke bank lagi mantap,tampilannya keren promonya bejibun kalau lupa pin kartu tidak perlu ke bank lagi mantap,tampilannya keren promonya bejibun lupa pin kartu tidak bank mantap,"['tampilannya', 'keren', 'promonya', 'bejibun', 'lupa', 'pin', 'kartu', 'tidak', 'bank', 'mantap']",tampilannya keren promonya bejibun lupa pin kartu tidak bank mantap,"['tampil', 'keren', 'promonya', 'bejibun', 'lupa', 'pin', 'kartu', 'tidak', 'bank', 'mantap']"
"Gampang bgt dan cepet ,,simpel",Positive,Tampilan,Gampang bgt dan cepet simpel,gampang bgt dan cepet simpel,gampang banget dan cepat simpel,gampang banget cepat simpel,"['gampang', 'banget', 'cepat', 'simpel']",gampang banget cepat simpel,"['gampang', 'banget', 'cepat', 'simpel']"
Tampilannya lebih menarik,Positive,Tampilan,Tampilannya lebih menarik,tampilannya lebih menarik,tampilannya lebih menarik,tampilannya lebih menarik,"['tampilannya', 'lebih', 'menarik']",tampilannya lebih menarik,"['tampil', 'lebih', 'menarik']"
"Tampilan lebih kekinian, mudah digunakan , cepat, dan praktis",Positive,Tampilan,Tampilan lebih kekinian mudah digunakan  cepat dan praktis,tampilan lebih kekinian mudah digunakan  cepat dan praktis,tampilan lebih kekinian mudah digunakan cepat dan praktis,tampilan lebih kekinian mudah cepat praktis,"['tampilan', 'lebih', 'kekinian', 'mudah', 'cepat', 'praktis']",tampilan lebih kekinian mudah cepat praktis,"['tampilan', 'lebih', 'kini', 'mudah', 'cepat', 'praktis']"
"Bayar pake QRIS cepat, tampilan menarik, mantapðŸ‘",Positive,Tampilan,Bayar pake QRIS cepat tampilan menarik mantap,bayar pake qris cepat tampilan menarik mantap,bayar pakai QRIS cepat tampilan menarik mantap,bayar pakai QRIS cepat tampilan menarik mantap,"['bayar', 'pakai', 'QRIS', 'cepat', 'tampilan', 'menarik', 'mantap']",bayar pakai QRIS cepat tampilan menarik mantap,"['bayar', 'pakai', 'qris', 'cepat', 'tampilan', 'menarik', 'mantap']"
"Sangat bagus tampilannya tidak membosankan dan mudah di gunakan maju terus BNI, wondr jadiin mau mu.",Positive,Tampilan,Sangat bagus tampilannya tidak membosankan dan mudah di gunakan maju terus BNI wondr jadiin mau mu,sangat bagus tampilannya tidak membosankan dan mudah di gunakan maju terus bni wondr jadiin mau mu,sangat bagus tampilannya tidak membosankan dan mudah di gunakan maju terus bni wondr jadikan mau mu,sangat bagus tampilannya tidak membosankan mudah maju jadikan mu,"['sangat', 'bagus', 'tampilannya', 'tidak', 'membosankan', 'mudah', 'maju', 'jadikan', 'mu']",sangat bagus tampilannya tidak membosankan mudah maju jadikan mu,"['sangat', 'bagus', 'tampil', 'tidak', 'bosan', 'mudah', 'maju', 'jadi', 'mu']"
"Tampilannya menarik, menunya lebih lengkap",Positive,Tampilan,Tampilannya menarik menunya lebih lengkap,tampilannya menarik menunya lebih lengkap,tampilannya menarik menunya lebih lengkap,tampilannya menarik menunya lebih lengkap,"['tampilannya', 'menarik', 'menunya', 'lebih', 'lengkap']",tampilannya menarik menunya lebih lengkap,"['tampil', 'menarik', 'menu', 'lebih', 'lengkap']"
"Keren, simpel dan cepet...mantab",Positive,Tampilan,Keren simpel dan cepet mantab,keren simpel dan cepet mantab,keren simpel dan cepat mantap,keren simpel cepat mantap,"['keren', 'simpel', 'cepat', 'mantap']",keren simpel cepat mantap,"['keren', 'simpel', 'cepat', 'mantap']"
"Aplikasi Wondr BNI keren sesuai dengan lagunya, siapin rencana dari A-Z cashflow tetap aman dan ga takut kebablasan, mulai investasi wondr make it easy",Positive,Tampilan,Aplikasi Wondr BNI keren sesuai dengan lagunya siapin rencana dari A Z cashflow tetap aman dan ga takut kebablasan mulai investasi wondr make it easy,aplikasi wondr bni keren sesuai dengan lagunya siapin rencana dari a z cashflow tetap aman dan ga takut kebablasan mulai investasi wondr make it easy,aplikasi wondr bni keren sesuai dengan lagunya siapin rencana dari a saja cashflow tetap aman dan tidak takut kebablasan mulai investasi wondr memakai itu easy,keren sesuai lagunya siapin rencana a cashflow aman tidak takut kebablasan investasi memakai easy,"['keren', 'sesuai', 'lagunya', 'siapin', 'rencana', 'a', 'cashflow', 'aman', 'tidak', 'takut', 'kebablasan', 'investasi', 'memakai', 'easy']",keren sesuai lagunya siapin rencana a cashflow aman tidak takut kebablasan investasi memakai easy,"['keren', 'sesuai', 'lagu', 'siapin', 'rencana', 'a', 'cashflow', 'aman', 'tidak', 'takut', 'bablas', 'investasi', 'pakai', 'easy']"
"Aplikasi keren, cepat dan simpel",Positive,Tampilan,Aplikasi keren cepat dan simpel,aplikasi keren cepat dan simpel,aplikasi keren cepat dan simpel,keren cepat simpel,"['keren', 'cepat', 'simpel']",keren cepat simpel,"['keren', 'cepat', 'simpel']"
"Aplikasinya bagus banget, responsenya cepat dengan UI yang fresh banget, promonya banyak dan menu insight nya sangat helpfull untuk mengelola keuangan bulanan ðŸ¥°",Positive,Tampilan,Aplikasinya bagus banget responsenya cepat dengan UI yang fresh banget promonya banyak dan menu insight nya sangat helpfull untuk mengelola keuangan bulanan,aplikasinya bagus banget responsenya cepat dengan ui yang fresh banget promonya banyak dan menu insight nya sangat helpfull untuk mengelola keuangan bulanan,aplikasinya bagus banget responsenya cepat dengan ui yang fresh banget promonya banyak dan menu insight ya sangat helpfull untuk mengelola keuangan bulanan,bagus banget responsenya cepat ui fresh banget promonya menu insight sangat helpfull mengelola keuangan bulanan,"['bagus', 'banget', 'responsenya', 'cepat', 'ui', 'fresh', 'banget', 'promonya', 'menu', 'insight', 'sangat', 'helpfull', 'mengelola', 'keuangan', 'bulanan']",bagus banget responsenya cepat ui fresh banget promonya menu insight sangat helpfull mengelola keuangan bulanan,"['bagus', 'banget', 'responsenya', 'cepat', 'ui', 'fresh', 'banget', 'promonya', 'menu', 'insight', 'sangat', 'helpfull', 'kelola', 'uang', 'bulan']"
"Tampilannya kekinian, akses lebih cepat dari mbanking versi lama, dan mudah digunakan semua kalangan.",Positive,Tampilan,Tampilannya kekinian akses lebih cepat dari mbanking versi lama dan mudah digunakan semua kalangan,tampilannya kekinian akses lebih cepat dari mbanking versi lama dan mudah digunakan semua kalangan,tampilannya kekinian akses lebih cepat dari m banking versi lama dan mudah digunakan semua kalangan,tampilannya kekinian akses lebih cepat m banking versi lama mudah kalangan,"['tampilannya', 'kekinian', 'akses', 'lebih', 'cepat', 'm', 'banking', 'versi', 'lama', 'mudah', 'kalangan']",tampilannya kekinian akses lebih cepat m banking versi lama mudah kalangan,"['tampil', 'kini', 'akses', 'lebih', 'cepat', 'm', 'banking', 'versi', 'lama', 'mudah', 'kalang']"
"Aplikasi yang sangat bermanfaat dan berguna, mudah dipahami disemua kalangan, simple dan sangat bermanfaat",Positive,Tampilan,Aplikasi yang sangat bermanfaat dan berguna mudah dipahami disemua kalangan simple dan sangat bermanfaat,aplikasi yang sangat bermanfaat dan berguna mudah dipahami disemua kalangan simple dan sangat bermanfaat,aplikasi yang sangat bermanfaat dan berguna mudah dipahami disemua kalangan simpel dan sangat bermanfaat,sangat bermanfaat berguna mudah dipahami disemua kalangan simpel sangat bermanfaat,"['sangat', 'bermanfaat', 'berguna', 'mudah', 'dipahami', 'disemua', 'kalangan', 'simpel', 'sangat', 'bermanfaat']",sangat bermanfaat berguna mudah dipahami disemua kalangan simpel sangat bermanfaat,"['sangat', 'manfaat', 'guna', 'mudah', 'paham', 'semua', 'kalang', 'simpel', 'sangat', 'manfaat']"
